event_name,event_start_at,event_end_at,receiver_uid,event_type,event_time,first_follow,bind_date,brand_id
最強穩膚精華，周年慶先試再買,2022-09-12,2022-09-25,Uaf43b018962146e9532319d6d9aa7ce5,enter,2022-09-20 17:38:40,2020-09-03 21:54:26,2021-07-06 12:38:19,1
測試B,2022-09-16,2022-09-30,Ue7068eeabc1fc9892223ae80e5ff6d36,enter,2022-09-20 17:37:09,,0000-00-00 00:00:00,1
最強穩膚精華，周年慶先試再買,2022-09-12,2022-09-25,Uaf43b018962146e9532319d6d9aa7ce5,enter,2022-09-20 17:36:38,2020-09-03 21:54:26,2021-07-06 12:38:19,1
最強穩膚精華，周年慶先試再買,2022-09-12,2022-09-25,U4bcf0a9fab63825cf511bb08c2ec8038,enter,2022-09-20 17:35:11,2021-04-01 17:17:00,2021-04-02 18:04:10,1
最強穩膚精華，周年慶先試再買,2022-09-12,2022-09-25,Uaf43b018962146e9532319d6d9aa7ce5,enter,2022-09-20 17:31:56,2020-09-03 21:54:26,2021-07-06 12:38:19,1
測試B,2022-09-16,2022-09-30,U3a61e4fe6dcc5517193f8b997ecddcfd,enter,2022-09-20 17:30:25,2021-04-22 22:51:27,,1
測試B,2022-09-16,2022-09-30,Ua459f9806408ef3c49574df52a6db824,enter,2022-09-20 17:29:12,2021-09-23 23:26:42,2022-08-30 16:20:37,1
測試B,2022-09-16,2022-09-30,U425e726360631db3cdfb11794db2db4b,enter,2022-09-20 17:26:59,,2021-06-08 11:48:03,1
測試B,2022-09-16,2022-09-30,Uf164313ee42902771267bf5e3e45f4b2,enter,2022-09-20 17:23:15,2020-03-11 11:47:38,2022-09-08 17:07:22,1
最強穩膚精華，周年慶先試再買,2022-09-12,2022-09-25,U4a813f88cd72060425b26e784d0ec3fd,enter,2022-09-20 17:23:09,,2021-07-24 18:37:41,1
最強穩膚精華，周年慶先試再買,2022-09-12,2022-09-25,Ub74e5e631bd84ab5ba8f5833b00029f0,enter,2022-09-20 17:22:57,2022-02-10 13:29:17,2022-03-17 19:17:29,1
測試B,2022-09-16,2022-09-30,Ua459f9806408ef3c49574df52a6db824,enter,2022-09-20 17:22:41,2021-09-23 23:26:42,2022-08-30 16:20:37,1
測試B,2022-09-16,2022-09-30,Ua5814108afc8e4b2c1b53a220835efae,enter,2022-09-20 17:22:24,2022-04-28 14:29:19,,1
最強穩膚精華，周年慶先試再買,2022-09-12,2022-09-25,U4bcf0a9fab63825cf511bb08c2ec8038,enter,2022-09-20 17:22:16,2021-04-01 17:17:00,2021-04-02 18:04:10,1
最強穩膚精華，周年慶先試再買,2022-09-12,2022-09-25,Uaf43b018962146e9532319d6d9aa7ce5,enter,2022-09-20 17:20:36,2020-09-03 21:54:26,2021-07-06 12:38:19,1
最強穩膚精華，周年慶先試再買,2022-09-12,2022-09-25,Uaf43b018962146e9532319d6d9aa7ce5,enter,2022-09-20 17:19:45,2020-09-03 21:54:26,2021-07-06 12:38:19,1
測試B,2022-09-16,2022-09-30,Ue7068eeabc1fc9892223ae80e5ff6d36,enter,2022-09-20 17:18:15,,0000-00-00 00:00:00,1
最強穩膚精華，周年慶先試再買,2022-09-12,2022-09-25,U4a813f88cd72060425b26e784d0ec3fd,enter,2022-09-20 17:14:45,,2021-07-24 18:37:41,1
